020|cheero阿愣 貓咪阿愣行動電源6000mAh|69|1380.0|990.0|1.35|2019-10-10|2019-10-10|自訂|3C商品|自訂|褐色|新款行動電源|10.0|10.0|新品|讚|21|data/images/21.jpg|21.jpg
021|小米藍牙耳機AIR|60|2299.0|1800.0|0.58|2019-10-10|2019-10-10|自訂|3C商品|自訂|白色|感受同步的音樂律動和成倍的愉悅|10.0|10.0|新品|讚|22|data/images/22.jpg|22.jpg
022|彈窗版i9s TWS無線藍芽耳機|1500|999.0|500.0|0.6|2019-10-10|2019-10-10|自訂|3C商品|自訂|白色|支援目前市面上所有智慧型藍芽裝置.可單耳配戴.也可雙耳配|10.0|10.0|新品|好|23|data/images/23.jpg|23.jpg
023|日本4G不降速吃到飽上網卡|900|899.0|500.0|0.2|2019-11-10|2019-11-10|自訂|3C商品|自訂|藍色|吃到飽不限流量不降速|10.0|10.0|新品|好|24|data/images/24.jpg|24.jpg
024|Dr.Douxi朵璽粉刺光溜3件組|100|699.0|400.0|0.9|2019-10-10|2019-10-10|自訂|代買代購|自訂|白色|護膚用品|10.0|10.0|新品|好|25|data/images/25.jpg|25.jpg
025|Levis 502 Taper牛仔褲男款|104|1999.0|1000.0|0.9|2019-02-02|2019-02-02|自訂|男生衣著|自訂|藍色|臀部及大腿處舒適寬鬆 X 褲腳收窄的俐落設計.是肌壯身型男子必備的丹寧神褲！|10.0|10.0|新品|讚|26|data/images/26.jpg|26.jpg
026|Levis 541低腰寬鬆牛仔褲男款|47|2299.0|1200.0|1.0|2019-02-02|2019-02-02|自訂|男生衣著|自訂|藍色|臀部至大腿採用寬鬆舒適的剪裁.膝蓋至腳部則是直筒設計|10.0|10.0|新品|讚|27|data/images/27.jpg|27.jpg
027|Levis 牛仔排釦縮口工作褲|33|1799.0|999.0|1.1|2019-02-02|2019-02-02|自訂|男生衣著|自訂|黑色|潮流縮口工作褲.上寬下窄打造俐落線條|10.0|10.0|新品|讚|28|data/images/28.jpg|28.jpg
028|Levis 帽T|19|2499.0|1200.0|1.1|2019-02-02|2019-02-02|自訂|男生衣著|自訂|白色|日系簡約設計.帽緣Logo細節|10.0|10.0|新品|讚|29|data/images/29.jpg|29.jpg
029|Levis 短袖T恤|20|1799.0|899.0|0.8|2019-02-02|2019-02-02|自訂|男生衣著|自訂|白色|一體成形Logo.復古迷彩|10.0|10.0|新品|讚|30|data/images/30.jpg|30.jpg
030|Superpure 抽取式花紋衛生紙|494|1600.0|899.0|0.2|2019-08-08|2019-08-08|自訂|居家生活|自訂|白色|增量50%，每箱增量4200抽！|10.0|10.0|新品|好|31|data/images/31.jpg|31.jpg
031|日本花王 KAO強效去污去漬棒|77|499.0|199.0|0.4|2019-08-08|2019-08-08|自訂|居家生活|自訂|白色|搭配專用清潔刷，手洗不掉的髒污也能一刷就OK!|10.0|10.0|新品|好|32|data/images/32.jpg|32.jpg
032|立得清乾濕輕巧拖|60|399.0|199.0|1.0|2019-08-08|2019-08-08|自訂|居家生活|自訂|白色|立得清乾濕輕巧拖(含5張立體除塵紙)設計成360度靈活旋轉，所以很多邊邊角角都能清潔到|10.0|10.0|新品|好|33|data/images/33.jpg|33.jpg
033|Herbal care洗髮露|147|599.0|199.0|1.5|2019-08-08|2019-08-08|自訂|居家生活|自訂|綠色|來自歐洲波蘭植萃草本世家 原裝進口|10.0|10.0|新品|好|34|data/images/34.jpg|34.jpg
034|美樂麗 洗臉棒|566|596.0|299.0|0.6|2019-08-08|2019-08-08|自訂|居家生活|自訂|粉色|清潔按摩 雙效養護肌膚.微震按摩，肌膚飽滿Q彈.IPX7防水設計 操作超方便|10.0|10.0|新品|好|35|data/images/35.jpg|35.jpg
